question_id,user_id,category,city,question_text,created_at,created_date,created_month,created_year,processed_at
1,4,Business,Chennai,How can I start learning machine learning?,2026-04-20 15:56:00,2026-04-20,2026-04,2026,2026-09-03 10:38:15.170826
2,14,Health,Mumbai,How can I learn Python?,2026-06-22 02:28:00,2026-06-22,2026-06,2026,2026-09-03 10:38:15.170826
3,10,General,Pune,How can I prepare for a technical interview?,2026-05-27 22:08:00,2026-05-27,2026-05,2026,2026-09-03 10:38:15.170826
4,8,Technology,Hyderabad,What are good resources for learning technology?,2026-05-09 07:52:00,2026-05-09,2026-05,2026,2026-09-03 10:38:15.170826
5,15,Business,Mumbai,What is data engineering?,2026-01-19 07:06:00,2026-01-19,2026-01,2026,2026-09-03 10:38:15.170826
6,25,Programming,Hyderabad,What is data engineering?,2026-03-01 18:20:00,2026-03-01,2026-03,2026,2026-09-03 10:38:15.170826
7,18,General,Pune,What is the difference between SQL and NoSQL?,2026-06-05 11:02:00,2026-06-05,2026-06,2026,2026-09-03 10:38:15.170826
8,1,Career,Pune,What is the difference between SQL and NoSQL?,2026-03-10 04:16:00,2026-03-10,2026-03,2026,2026-09-03 10:38:15.170826
9,9,Programming,Hyderabad,How can I start learning machine learning?,2026-05-04 08:39:00,2026-05-04,2026-05,2026,2026-09-03 10:38:15.170826
10,24,Business,Mumbai,How can I improve my career skills?,2026-06-12 15:33:00,2026-06-12,2026-06,2026,2026-09-03 10:38:15.170826
11,26,Career,Chennai,How can I prepare for a technical interview?,2026-06-24 04:48:00,2026-06-24,2026-06,2026,2026-09-03 10:38:15.170826
12,3,Technology,Ahmedabad,What is data engineering?,2026-03-06 21:09:00,2026-03-06,2026-03,2026,2026-09-03 10:38:15.170826
13,2,Programming,Delhi,What is data engineering?,2026-01-23 00:18:00,2026-01-23,2026-01,2026,2026-09-03 10:38:15.170826
14,4,Career,Ahmedabad,How can I improve my programming skills?,2026-05-26 08:51:00,2026-05-26,2026-05,2026,2026-09-03 10:38:15.170826
15,25,Programming,Delhi,What is the difference between SQL and NoSQL?,2026-01-28 17:07:00,2026-01-28,2026-01,2026,2026-09-03 10:38:15.170826
16,11,Health,Chennai,How can I improve my programming skills?,2026-03-04 19:58:00,2026-03-04,2026-03,2026,2026-09-03 10:38:15.170826
17,2,Technology,Ahmedabad,How can I improve my programming skills?,2026-05-19 08:59:00,2026-05-19,2026-05,2026,2026-09-03 10:38:15.170826
18,28,Business,Bangalore,How can I learn data analytics?,2026-06-02 06:19:00,2026-06-02,2026-06,2026,2026-09-03 10:38:15.170826
19,1,Career,Chennai,How can I learn Python?,2026-01-22 13:45:00,2026-01-22,2026-01,2026,2026-09-03 10:38:15.170826
20,5,Technology,Hyderabad,What is the best way to learn SQL?,2026-03-17 23:34:00,2026-03-17,2026-03,2026,2026-09-03 10:38:15.170826
21,4,Technology,Mumbai,How can I learn Python?,2026-01-08 23:06:00,2026-01-08,2026-01,2026,2026-09-03 10:38:15.170826
22,14,Education,Chennai,How can I start learning machine learning?,2026-06-14 09:08:00,2026-06-14,2026-06,2026,2026-09-03 10:38:15.170826
23,26,General,Ahmedabad,What is the best way to learn SQL?,2026-03-26 04:06:00,2026-03-26,2026-03,2026,2026-09-03 10:38:15.170826
24,26,Education,Pune,How can I improve my programming skills?,2026-02-08 00:37:00,2026-02-08,2026-02,2026,2026-09-03 10:38:15.170826
25,30,Education,Mumbai,How can I start learning machine learning?,2026-04-17 21:39:00,2026-04-17,2026-04,2026,2026-09-03 10:38:15.170826
26,3,Career,Jaipur,What is the best way to learn SQL?,2026-03-04 13:35:00,2026-03-04,2026-03,2026,2026-09-03 10:38:15.170826
27,8,Health,Mumbai,What are good resources for learning technology?,2026-02-20 06:45:00,2026-02-20,2026-02,2026,2026-09-03 10:38:15.170826
28,29,Career,Bangalore,What is data engineering?,2026-06-14 15:30:00,2026-06-14,2026-06,2026,2026-09-03 10:38:15.170826
29,11,Programming,Hyderabad,What is the best way to learn SQL?,2026-03-08 21:48:00,2026-03-08,2026-03,2026,2026-09-03 10:38:15.170826
30,14,Technology,Jaipur,How can I improve my career skills?,2026-01-28 14:57:00,2026-01-28,2026-01,2026,2026-09-03 10:38:15.170826
31,3,Technology,Hyderabad,How can I improve my career skills?,2026-03-27 12:22:00,2026-03-27,2026-03,2026,2026-09-03 10:38:15.170826
32,10,Programming,Delhi,How can I prepare for a technical interview?,2026-06-04 09:39:00,2026-06-04,2026-06,2026,2026-09-03 10:38:15.170826
33,24,Education,Ahmedabad,What are good resources for learning technology?,2026-01-17 02:44:00,2026-01-17,2026-01,2026,2026-09-03 10:38:15.170826
34,30,General,Hyderabad,How can I improve my programming skills?,2026-02-08 00:53:00,2026-02-08,2026-02,2026,2026-09-03 10:38:15.170826
35,12,Health,Hyderabad,How can I prepare for a technical interview?,2026-01-02 08:24:00,2026-01-02,2026-01,2026,2026-09-03 10:38:15.170826
36,23,Programming,Delhi,How can I improve my career skills?,2026-01-18 07:27:00,2026-01-18,2026-01,2026,2026-09-03 10:38:15.170826
37,8,Health,Delhi,What are good resources for learning technology?,2026-04-16 20:51:00,2026-04-16,2026-04,2026,2026-09-03 10:38:15.170826
38,8,General,Ahmedabad,How can I learn data analytics?,2026-04-06 08:56:00,2026-04-06,2026-04,2026,2026-09-03 10:38:15.170826
39,25,Health,Hyderabad,What are good resources for learning technology?,2026-06-24 08:12:00,2026-06-24,2026-06,2026,2026-09-03 10:38:15.170826
40,19,Health,Delhi,How can I learn data analytics?,2026-05-23 09:34:00,2026-05-23,2026-05,2026,2026-09-03 10:38:15.170826
41,1,Career,Mumbai,What is the difference between SQL and NoSQL?,2026-03-17 15:25:00,2026-03-17,2026-03,2026,2026-09-03 10:38:15.170826
42,25,General,Hyderabad,How can I improve my programming skills?,2026-01-30 08:46:00,2026-01-30,2026-01,2026,2026-09-03 10:38:15.170826
43,2,Programming,Pune,How can I start learning machine learning?,2026-03-27 21:05:00,2026-03-27,2026-03,2026,2026-09-03 10:38:15.170826
44,5,Health,Pune,What is the difference between SQL and NoSQL?,2026-05-29 23:10:00,2026-05-29,2026-05,2026,2026-09-03 10:38:15.170826
45,12,Programming,Delhi,What is data engineering?,2026-02-10 21:58:00,2026-02-10,2026-02,2026,2026-09-03 10:38:15.170826
46,19,Programming,Chennai,What is the difference between SQL and NoSQL?,2026-01-22 15:50:00,2026-01-22,2026-01,2026,2026-09-03 10:38:15.170826
47,28,Technology,Chennai,How can I improve my programming skills?,2026-02-20 16:02:00,2026-02-20,2026-02,2026,2026-09-03 10:38:15.170826
48,4,Health,Hyderabad,What is the best way to learn SQL?,2026-06-10 02:52:00,2026-06-10,2026-06,2026,2026-09-03 10:38:15.170826
49,13,Career,Delhi,What is the best way to learn SQL?,2026-03-31 08:19:00,2026-03-31,2026-03,2026,2026-09-03 10:38:15.170826
50,11,Health,Mumbai,How can I learn data analytics?,2026-02-19 00:23:00,2026-02-19,2026-02,2026,2026-09-03 10:38:15.170826
